point_id,lon,lat,worldcover_raw_code,worldcover_suggested_label,verified_label,google_maps_check_link,dryseason_blue,dryseason_green,dryseason_red,dryseason_rededge,dryseason_nir,dryseason_swir1,dryseason_swir2,ndvi_s1_land_prep_mar_apr,ndvi_s2_early_growth_may_jun,ndvi_s3_peak_growth_jun_sep,ndvi_s4_maturity_sep_oct,ndvi_s5_postharvest_dec_jan,ndvi_amplitude
28,8.797980032351518,7.854529520429793,40,cropland,,"https://www.google.com/maps/@7.854529520429793,8.797980032351518,17z/data=!3m1!1e3",0.06930000334978104,0.10869999974966049,0.15850000083446503,0.20029999315738678,0.2680499851703644,0.39969998598098755,0.3531999886035919,0.1201716884970665,0.36966273188591003,0.492961585521698,0.40256914496421814,0.2568280100822449,0.3727898895740509
29,8.674282017728245,7.905463997039362,40,cropland,,"https://www.google.com/maps/@7.905463997039362,8.674282017728245,17z/data=!3m1!1e3",0.04774999991059303,0.0868000015616417,0.11060000211000443,0.1676499992609024,0.28130000829696655,0.32109999656677246,0.2179500013589859,0.18386214971542358,0.30889490246772766,0.5010511875152588,,0.43557029962539673,0.3171890377998352
30,8.763215230856076,7.839437823656581,40,cropland,,"https://www.google.com/maps/@7.839437823656581,8.763215230856076,17z/data=!3m1!1e3",0.053950000554323196,0.08995000272989273,0.12520000338554382,0.1683499962091446,0.31485000252723694,0.3144499957561493,0.23524999618530273,0.3007456660270691,0.32583171129226685,0.2151649445295334,0.37299859523773193,0.43097373843193054,0.21580879390239716
31,8.573131716736384,7.966908762473139,40,cropland,,"https://www.google.com/maps/@7.966908762473139,8.573131716736384,17z/data=!3m1!1e3",0.06109999865293503,0.1096000000834465,0.1599999964237213,0.20409999787807465,0.28349998593330383,0.39410001039505005,0.26420000195503235,0.14874142408370972,0.43358129262924194,0.5947980880737305,0.6795738935470581,0.27846673130989075,0.5308324694633484
32,8.78037305278275,7.810781566093169,40,cropland,,"https://www.google.com/maps/@7.810781566093169,8.78037305278275,17z/data=!3m1!1e3",0.05920000001788139,0.09040000289678574,0.13619999587535858,0.16200000047683716,0.22599999606609344,0.38519999384880066,0.2818000018596649,0.14947853982448578,0.13324271142482758,0.6275738477706909,0.5954692363739014,0.24792931973934174,0.49433112144470215
33,8.791961319947916,7.815183310985361,40,cropland,,"https://www.google.com/maps/@7.815183310985361,8.791961319947916,17z/data=!3m1!1e3",0.06289999932050705,0.09404999762773514,0.13699999451637268,0.15440000593662262,0.24279999732971191,0.34804999828338623,0.24879999458789825,0.18503940105438232,0.2289988249540329,0.5399252772331238,0.09254197031259537,0.27856767177581787,0.447383314371109
34,8.56001631358825,7.8797721799135445,40,cropland,,"https://www.google.com/maps/@7.8797721799135445,8.56001631358825,17z/data=!3m1!1e3",0.035999998450279236,0.07440000027418137,0.08579999953508377,0.14650000631809235,0.26980000734329224,0.33309999108314514,0.25529998540878296,0.24740856885910034,0.4647887349128723,0.5606327056884766,0.6649883389472961,0.5174353122711182,0.4175797700881958
35,8.663592065847212,7.762631866864368,40,cropland,,"https://www.google.com/maps/@7.762631866864368,8.663592065847212,17z/data=!3m1!1e3",0.04670000076293945,0.08749999850988388,0.12319999933242798,0.17949999868869781,0.2526000142097473,0.35350000858306885,0.26460000872612,0.1869688332080841,0.3693464398384094,0.4827500879764557,0.7024447917938232,0.34433212876319885,0.5154759883880615
36,8.798968179164035,7.988288666235192,40,cropland,,"https://www.google.com/maps/@7.988288666235192,8.798968179164035,17z/data=!3m1!1e3",0.06859999895095825,0.11540000140666962,0.18279999494552612,0.23360000550746918,0.32679998874664307,0.43709999322891235,0.32109999656677246,0.1479955017566681,0.4226170778274536,0.6163676977157593,0.6279069781303406,0.2825745642185211,0.4799114763736725
37,8.565496036821372,7.839976812827061,40,cropland,,"https://www.google.com/maps/@7.839976812827061,8.565496036821372,17z/data=!3m1!1e3",0.07559999823570251,0.13699999451637268,0.20999999344348907,0.2542000114917755,0.3208000063896179,0.4629000127315521,0.4090000092983246,0.14341311156749725,0.0997624471783638,,,0.20874154567718506,0.10897909849882126
